device_id,name,description,serialNr,type,typeDisplayName,dnr_str,feeder,phase
202,D1525 SP1 L1 / UMG801-4700-2316 / Measurement Group 1,Basic Device of UMG801,47002316,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1525,SP1,L1
203,D1525 SP1 L1 / UMG801-4700-2316 / Measurement Group 2,Basic Device of UMG801,47002316,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1525,SP1,L1
204,D1525 SP1 L1 / UMG801-4700-2316 / Measurement Group 3,Basic Device of UMG801,47002316,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D1525,SP1,L1
205,D0303 SP1 L1,D0303 Bíldshöfði 9A SP1 L1,47002320,JanitzaUMG801,UMG 801,D0303,SP1,L1
206,D0303 SP1 L1 / UMG801-4700-2320,,47002320,JanitzaUMG801BaseModule,UMG801BaseModule,D0303,SP1,L1
207,D0303 SP1 L1 / UMG801-4700-2320 / Measurement Group 1,Basic Device of UMG801,47002320,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0303,SP1,L1
208,D0303 SP1 L1 / UMG801-4700-2320 / Measurement Group 2,Basic Device of UMG801,47002320,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0303,SP1,L1
209,D0303 SP1 L1 / UMG801-4700-2320 / Measurement Group 3,Basic Device of UMG801,47002320,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0303,SP1,L1
210,D0303 SP1 L1 / Mod 1,,48006056,Janitza800-CT8-A,800-CT8-A,D0303,SP1,L1
211,D0303 SP1 L1 / Mod 1 / Measurement Group 1,Mod. 1,48006056,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0303,SP1,L1
212,D0303 SP1 L1 / Mod 1 / Measurement Group 2,Mod. 1,48006056,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0303,SP1,L1
213,D0263 SP1 L1,D0263 Heiðargerði 80 SP1 L1,47002324,JanitzaUMG801,UMG 801,D0263,SP1,L1
214,D0263 SP1 L1 / UMG801-4700-2324,,47002324,JanitzaUMG801BaseModule,UMG801BaseModule,D0263,SP1,L1
215,D0263 SP1 L1 / UMG801-4700-2324 / Measurement Group 1,Basic Device of UMG801,47002324,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0263,SP1,L1
216,D0263 SP1 L1 / UMG801-4700-2324 / Measurement Group 2,Basic Device of UMG801,47002324,JanitzaUMG801MeasurementGroup,UMG 801 Measurement Group,D0263,SP1,L1
