device_id,name,window_start,window_end,sample_time,Ia_avg,Ib_avg,Ic_avg,Ia_label,Ib_label,Ic_label,cur_dev_ratio,cur_ratio,current_unbalance_rms,dib,neutral_from_trms_120deg,neutral_from_trms_and_pf,phase_unbalance_metrics.UC,phase_unbalance_metrics.Unbalance_a,phase_unbalance_metrics.Unbalance_b,phase_unbalance_metrics.Unbalance_c,sequence_unbalance_factors.I0,sequence_unbalance_factors.I1,sequence_unbalance_factors.I2,sequence_unbalance_factors.M0,sequence_unbalance_factors.M0_angle_deg,sequence_unbalance_factors.M0_mag,sequence_unbalance_factors.M2,sequence_unbalance_factors.M2_angle_deg,sequence_unbalance_factors.M2_mag,vuf_magnitude,vuf_symmetrical
134,D0688 SP1 L1,2025-09-01 12:00,2025-10-01 12:00,15m,1127.1886101590073,1088.7608774931612,1098.7375028363479,L1,L2,L3,0.6725505825076323,1.1593170871371696,28.199817960166687,0.006725505825076323,34.537582420897316,,1.000217134491896,1.0201765174752289,0.9853970048611139,0.9944264776636571,,,,,,,,,,,
135,D0029 SP1,2025-09-01 12:00,2025-10-01 12:00,15m,386.8652534149947,351.21269645054576,371.57305840884936,L1,L2,L3,1.6825986580488883,3.2129522434167805,25.294929566235886,0.015303535853678921,30.979835258457932,,1.0015588896707415,1.0459106075610367,0.9495220402585334,1.00456735218043,,,,,,,,,,,
144,D1484 SP1 L1,2025-09-01 12:00,2025-10-01 12:00,15m,109.34704137908088,103.25229728887271,105.67217835941248,L1,L2,L3,1.0231942002564367,1.9149511546407465,4.339982647201041,0.010231942002564366,5.315371489087968,,1.00055782977602,1.030695826007693,0.9732472913684707,0.9960568826238362,,,,,,,,,,,
145,D0074 SP1 L1,2025-09-01 12:00,2025-10-01 12:00,15m,128.30993874867758,116.00570432080163,101.11034154891968,L1,L2,L3,4.062130224331874,7.874218620178794,19.26208802104244,0.0381208839584692,23.591143516065284,,1.0093286322439519,1.1143626518754075,1.0075012548545486,0.8781360932700438,,,,,,,,,,,
146,D0074 SP2 L1,2025-09-01 12:00,2025-10-01 12:00,15m,174.19754202365874,159.85693479908838,157.0395655049218,L1,L2,L3,2.1379872304437852,3.493827055488643,13.012644408761188,0.02137987230443785,15.937169502873386,,1.002106313677747,1.0641396169133135,0.976535577838032,0.9593248052486543,,,,,,,,,,,
149,D0841 SP1 L1 / UMG801-4700-2312 / Measurement Group 1,2025-09-01 12:00,2025-10-01 12:00,15m,236.9667295164532,206.29777584340837,225.56331850952571,Input01,Input02,Input03,2.488657247654303,4.585478142284051,21.922466681559296,0.020968208946297476,26.84942863649301,,1.0032230825464028,1.0629046268388924,0.9253402825703709,1.0117550905907364,,,,,,,,,,,
155,D1160 SP1 L1,2025-09-01 12:00,2025-10-01 12:00,15m,416.8130725118849,315.12664924727545,280.6106283452776,L1,L2,L3,7.831342820192599,13.451424331892131,100.13755567919917,0.078313428201926,122.64295775178906,,1.0293414769419902,1.234940284605778,0.933662160745208,0.831397554649014,,,,,,,,,,,
156,D1159 SP1 L1,2025-09-01 12:00,2025-10-01 12:00,15m,542.953687122133,393.9939179632399,393.1724126021067,L1,L2,L3,7.486568623040614,11.260733808098992,121.9619037456261,0.07486568623040614,149.37221611761117,,1.0252224915633834,1.2245970586912185,0.8886278968605327,0.8867750444482486,,,,,,,,,,,
157,D1329 SP1 L1,2025-09-01 12:00,2025-10-01 12:00,15m,108.67783728705513,75.58512692716387,78.04558237261243,L1,L2,L3,8.097965303777503,12.615948199360957,26.073718320089466,0.08097965303777503,31.933652790638376,,1.0296416456646844,1.242938959113325,0.8644605131324964,0.8926005277541788,,,,,,,,,,,
161,D1496 SP1 L1 / UMG801-4700-2682 / Measurement Group 1,2025-09-01 12:00,2025-10-01 12:00,15m,170.1938452049857,154.6715140678933,141.3251178896481,Input01,Input02,Input03,3.1740286876311883,6.192474692114558,20.432592197137062,0.031740286876311884,25.024712502679634,,1.0057629041089549,1.0952208606289358,0.9953325195055654,0.9094466198654989,,,,,,,,,,,
169,D1457 SP1 L1 / UMG801-4700-2422 / Measurement Group 1,2025-09-01 12:00,2025-10-01 12:00,15m,31.577935834725697,33.96968247426881,19.18078880243831,Input01,Input02,Input03,10.695366379449512,17.45446913970717,11.226769831740357,0.0675910276025766,13.749928773717812,,1.0526711510182465,1.1180879085757556,1.2027730828077299,0.6791390086165147,,,,,,,,,,,
177,D1457 SP2 L1 / UMG801-4700-2680 / Measurement Group 1,2025-09-01 12:00,2025-10-01 12:00,15m,39.95432057811154,33.90382471134265,34.83470552066962,Input01,Input02,Input03,3.4255889695768955,5.566599662878048,4.60743955110816,0.034255889695768954,5.6429379604664245,,1.005390618377559,1.102767669087307,0.9357696792009654,0.9614626517117278,,,,,,,,,,,
202,D1525 SP1 L1 / UMG801-4700-2316 / Measurement Group 1,2025-09-01 12:00,2025-10-01 12:00,15m,195.6972825606664,174.22652499675752,164.45529549121858,Input01,Input02,Input03,3.288099174826105,5.8464088305870705,22.601859160001084,0.03288099174826105,27.681511090126666,,1.0053667411661165,1.098642975244783,0.9781063144280456,0.923250710327171,,,,,,,,,,,
207,D0303 SP1 L1 / UMG801-4700-2320 / Measurement Group 1,2025-09-01 12:00,2025-10-01 12:00,15m,172.2576904296875,191.3527069091797,158.7642059326172,Input01,Input02,Input03,3.2979855919727212,6.238530888077241,23.1567425323176,0.03297985591972721,28.361101654591717,,1.0058953837505236,0.9892767911239538,1.0989395677591816,0.9117836411168644,,,,,,,,,,,
215,D0263 SP1 L1 / UMG801-4700-2324 / Measurement Group 1,2025-09-01 12:00,2025-10-01 12:00,15m,36.15084155069457,29.186946654982037,21.68339124090142,Input01,Input02,Input03,8.415961058216366,16.62520595767685,10.232404318911623,0.08209244899460486,12.532084711592166,,1.041478850176907,1.2462773469838146,1.0062014847626763,0.747521168253509,,,,,,,,,,,
223,D1456 SP1 L1 / UMG801-4700-2313 / Measurement Group 1,2025-09-01 12:00,2025-10-01 12:00,15m,41.46925926340951,24.489909668101205,25.40245366361406,Input01,Input02,Input03,12.056906118940134,18.584772372699035,13.506458842655773,0.12056906118940133,16.541966198204207,,1.0655656914455993,1.361707183568204,0.804164012387233,0.8341288040445634,,,,,,,,,,,
229,D0710 SP1 L1,2025-09-01 12:00,2025-10-01 12:00,15m,82.68051798873478,103.3788440267245,93.02873831722471,L1,L2,L3,3.7083190708690816,7.4164129582438285,14.635926720911858,0.037083190708690816,17.925276189500092,,1.0082504771978993,0.8887571833787575,1.1112495721260724,0.9999932444951697,,,,,,,,,,,
232,D1299 SP1 L1 / UMG801-4700-1575 / Device-232,2025-09-01 12:00,2025-10-01 12:00,15m,98.694186602813,5.469457083476891,5.400878504256483,Input01,Input02,Input03,56.74526567809802,85.14919449592252,76.14568543904745,0.5674526567809802,93.2590377200706,,2.44901191725804,2.7023579703429403,0.14975989419179384,0.14788213546526532,,,,,,,,,,,
240,D1411 SP1 L1 / UMG801-4700-1622 / Device-240,2025-09-01 12:00,2025-10-01 12:00,15m,261.8872713512844,246.91386460463207,233.58556551933287,Input01,Input02,Input03,1.9430624898770825,3.8122592680756835,20.02359457495283,0.019430624898770826,24.52379476249748,,1.002182453373567,1.0582918746963124,0.9977840286496458,0.943924096654042,,,,,,,,,,,
248,D0176 SP2 L1 / UMG801-4700-2673 / Measurement Group 1,2025-09-01 12:00,2025-10-01 12:00,15m,243.3963683221633,190.1445351749026,185.0847613092005,Input01,Input02,Input03,6.011359615735825,9.42599221634688,45.68589336454591,0.06011359615735825,55.95356359317057,,1.0163617454253802,1.1803407884720747,0.9220981895462568,0.8975610219816683,,,,,,,,,,,
253,D0173 SP1 L1 / UMG801-4700-2803 / Measurement Group 1,2025-09-01 12:00,2025-10-01 12:00,15m,349.27898316383363,319.6647327423096,290.86858223809134,Input01,Input02,Input03,3.057009220013092,6.085606637743325,41.303740945166716,0.030570092200130922,50.58654489187929,,1.0055555544761308,1.0917102766003928,0.9991476459315144,0.909142077468093,,,,,,,,,,,
261,D0006 SP2 L1 / UMG801-4700-2328 / Measurement Group 1,2025-09-01 12:00,2025-10-01 12:00,15m,343.9008650466691,340.64799054839125,328.8485631541934,Input01,Input02,Input03,0.8832247115784118,1.4853305933079426,11.200884959007462,0.006021058817295309,13.718226408591578,,1.0003664935541354,1.018063176451886,1.0084335648954665,0.9735032586526476,,,,,,,,,,,
272,D0615 SP1 L1 / UMG801-4700-2818 / Measurement Group 1,2025-09-01 12:00,2025-10-01 12:00,15m,136.71430206033827,135.5308383889975,138.8556996325976,Input01,Input02,Input03,0.44322124751435527,0.8087702382066304,2.383336045200709,0.004432212475143553,2.9189785981622807,,1.000100831235497,0.9976698322953373,0.9890335302792318,1.0132966374254306,,,,,,,,,,,
280,D1508 SP1 L1 / UMG801-4700-2016 / Measurement Group 1,2025-09-01 12:00,2025-10-01 12:00,15m,101.50505223770936,101.6502752419975,108.53643229934904,Input01,Input02,Input03,1.4883868097611026,2.2558761471987276,5.682738609470311,0.014883868097611027,6.9599049674082565,,1.000997208503246,0.9769753198768713,0.9783730758302954,1.044651604292833,,,,,,,,,,,
285,D1379 SP1 L1 / UMG801-4700-2676 / Measurement Group 1,2025-09-01 12:00,2025-10-01 12:00,15m,21.079792647205796,25.650486665711107,17.980264739353125,Input01,Input02,Input03,6.305472121604419,11.853125388904706,5.456819020331063,0.06305472121604419,6.683211109262529,,1.0213329174599373,0.9772654343708763,1.1891641636481327,0.8335704019809914,,,,,,,,,,,
293,D0383 SP1 L1 / UMG801-4700-2318 / Measurement Group 1,2025-09-01 12:00,2025-10-01 12:00,15m,307.9909817112817,212.64573141468895,256.91902582380504,Input01,Input02,Input03,6.276815017867459,12.262175625553622,67.47638112734629,0.06276815017867458,82.64135172578122,,1.0225923682137346,1.1883044505360238,0.8204391817694151,0.9912563676945614,,,,,,,,,,,
301,D0613 SP1 L1 / UMG801-4700-2675 / Measurement Group 1,2025-09-01 12:00,2025-10-01 12:00,15m,125.91388338177919,125.52953847249348,117.57220963363275,Input01,Input02,Input03,1.4722955882463205,2.2605204322949755,6.659587679417604,0.00788224844048655,8.156295855949882,,1.0009770716461035,1.0236467453214597,1.0205221223259298,0.9558311323526104,,,,,,,,,,,
309,D0613 SP2 L1 / UMG801-4700-2812 / Measurement Group 1,2025-09-01 12:00,2025-10-01 12:00,15m,134.8587492081854,139.26307550403806,131.28784501949946,Input01,Input02,Input03,1.0178639620332193,1.967202827159045,5.649594325456313,0.010178639620332193,6.919311675543803,,1.0005825961044854,0.9979442470927786,1.0305359188609966,0.9715198340462252,,,,,,,,,,,
317,D1454 SP1 L1 / UMG801-4700-2819 / Measurement Group 1,2025-09-01 12:00,2025-10-01 12:00,15m,100.2465519845844,76.74704225039434,59.4461382175973,Input01,Input02,Input03,9.065019492028359,17.256157983164126,28.961019789000854,0.09065019492028359,35.469860456849126,,1.0450098988526624,1.2719505847608508,0.9737835699732222,0.754265845265927,,,,,,,,,,,
323,D1534 SP1 L1,2025-09-01 12:00,2025-10-01 12:00,15m,269.1157322662848,268.6467143688765,268.6788954578616,L1,L2,L3,0.0374424713677019,0.058158959979784854,0.3705130711319546,0.000374424713677019,0.4537839837005103,,1.0000006332610183,1.001123274141031,0.9993785053416375,0.9994982205173312,,,,,,,,,,,
324,D1534 SP2 L1,2025-09-01 12:00,2025-10-01 12:00,15m,270.7962068827202,271.07094514953593,270.9489473761094,L1,L2,L3,0.01753076989641802,0.03380079048824485,0.19467428383198307,0.00016270020591826833,0.23842633068453523,,1.0000001720892855,0.9994740769031074,1.0004881006177548,1.0000378224791378,,,,,,,,,,,
328,D1532 SP1 L1 / UMG801-4700-2672 / Measurement Group 1,2025-09-01 12:00,2025-10-01 12:00,15m,114.2914632956187,100.15342663791445,109.38942235310873,Input01,Input02,Input03,2.405966208238924,4.365824164176268,10.152466084449818,0.01959857955937344,12.434180768907035,,1.0029486187526229,1.0587957386781204,0.9278210137528323,1.0133832475690472,,,,,,,,,,,
331,D1551 SP1 L1,2025-09-01 12:00,2025-10-01 12:00,15m,0.1149675568723372,0.08226449033180769,1.1944651455851272,L1,L2,L3,52.49461485639838,79.9168569869873,0.8950558329221321,0.5249461485639838,1.0962150409805083,,2.2408863479476486,0.2478288182257159,0.17733273608233255,2.5748384456919515,,,,,,,,,,,
332,D1551 SP2 L1,2025-09-01 12:00,2025-10-01 12:00,15m,74.74421485000187,46.85193540586366,47.690934869978165,L1,L2,L3,10.81900988554773,16.476318570553566,22.4392745750854,0.10819009885547731,27.482386453583587,,1.052709782723409,1.3245702965664319,0.830280739449825,0.8451489639837428,,,,,,,,,,,
333,D1049 SP2 L1,2025-09-01 12:00,2025-10-01 12:00,15m,63.378797784778804,74.3249200489786,89.54375270605087,L1,L2,L3,6.070296767959681,11.513859696268257,18.583463312839655,0.060702967679596806,22.760001385094217,,1.020062102653396,0.8366931121507427,0.9811979848104667,1.1821089030387903,,,,,,,,,,,
334,D1021 SP1 L1,2025-09-01 12:00,2025-10-01 12:00,15m,80.32970708873538,87.8712860279613,89.92612571716309,L1,L2,L3,2.213121148096579,3.7177103559600515,7.145838638371951,0.015045892078634727,8.751829224137383,,1.0022991134232706,0.9336063655571026,1.0212559582069936,1.0451376762359041,,,,,,,,,,,
335,D1019 SP1 L1,2025-09-01 12:00,2025-10-01 12:00,15m,114.56590091475734,123.16593995005996,115.28830806944106,L1,L2,L3,1.5558763397940494,2.4361326290483727,6.746347840434626,0.015558763397940493,8.262554918196141,,1.001095619431658,0.9735923113223703,1.0466762901938216,0.9797313984838081,,,,,,,,,,,
338,D1030 SP1 L1 / UMG801-4700-7801 / Measurement Group 1,2025-09-01 12:00,2025-10-01 12:00,15m,235.9912844525443,175.66390415562523,192.08760743670993,Input01,Input02,Input03,5.754716412108563,9.992231906057329,44.10844098531431,0.05754716412108563,54.02158688184247,,1.0160125591513935,1.1726414923632569,0.872874535181537,0.954483972455206,,,,,,,,,,,
344,D1046 SP2 L1,2025-09-01 12:00,2025-10-01 12:00,15m,139.51561917687036,129.43481669197533,141.7830477332495,L1,L2,L3,1.8202422756372885,3.0063852922292367,9.29592421165323,0.011861430165919482,11.385135503068152,,1.0015366897204443,1.0190229777713598,0.9453927317308813,1.0355842904977584,,,,,,,,,,,
348,D0662 SP2 L1 / UMG801-4700-7805 / Measurement Group 1,2025-09-01 12:00,2025-10-01 12:00,15m,16.58456585661689,11.587266994521391,16.228140028843416,Input01,Input02,Input03,7.235869206850365,11.25518449212521,3.9428305318430885,0.040193152852748444,4.828961472641006,,1.0236576753014475,1.1205794585582454,0.782923923794489,1.0964966176472655,,,,,,,,,,,
354,D1554 SP1 L1 / UMG801-4700-2669 / Measurement Group 1,2025-09-01 12:00,2025-10-01 12:00,15m,106.39897966670493,101.025140354339,101.57365359042193,Input01,Input02,Input03,1.1002415184036651,1.7391191041793725,4.181817287087287,0.011002415184036652,5.121659275456488,,1.0005494657940268,1.03300724555211,0.9808336724267288,0.9861590820211613,,,,,,,,,,,
360,D1441 SP1 L1,2025-09-01 12:00,2025-10-01 12:00,15m,473.19639636323654,402.5315831774064,388.8887380818374,L1,L2,L3,4.084833749959764,6.666656948826379,63.99850073708389,0.040848337499597646,78.38183555449358,,1.007683215553514,1.122545012498793,0.9549096834672056,0.9225453040340016,,,,,,,,,,,
361,D1398 SP1 L1,2025-09-01 12:00,2025-10-01 12:00,15m,233.15596984144713,229.9770999143521,12.496756894886493,L1,L2,L3,30.705920964582873,46.39305623459527,178.8838478567153,0.156871352700124,219.08707523730538,,1.4243511157006932,1.470614058100372,1.4505635708371143,0.07882237106251383,,,,,,,,,,,
362,D1398 SP2 L1,2025-09-01 12:00,2025-10-01 12:00,15m,45.809591397560304,32.7546485690607,35.4858357946078,L1,L2,L3,6.832875318264264,11.446676156385,9.73774179273402,0.06832875318264264,11.926249319586589,,1.0218698904511636,1.204986259547928,0.861585974856378,0.9334277655956937,,,,,,,,,,,
365,D1528 SP1 L1 / UMG801-4700-2815 / Measurement Group 1,2025-09-01 12:00,2025-10-01 12:00,15m,18.225763875643963,17.694446000834002,19.52293197186832,Input01,Input02,Input03,1.8791948911122192,3.297947969896401,1.3302010750539397,0.01879194891112219,1.6291569445919607,,1.0017268721199644,0.9861867456301587,0.9574374076364746,1.0563758467333666,,,,,,,,,,,
368,D1341 SP1 L1,2025-09-01 12:00,2025-10-01 12:00,15m,145.3513693385654,132.99282073179882,114.80129924880134,L1,L2,L3,4.132616965555623,7.770678011000333,21.73301605101988,0.03638061045444711,26.617399948357544,,1.0091675790137493,1.1091418313633414,1.0148366776033275,0.8760214910333314,,,,,,,,,,,
369,D1390 SP1 L1,2025-09-01 12:00,2025-10-01 12:00,15m,19.628026025162804,18.24502631235454,19.268976935744284,L1,L2,L3,1.404074704620435,2.420284561814483,1.014902184676036,0.010162098571940482,1.2429962456460488,,1.0009463642169645,1.0304862957158214,0.9578777588613869,1.0116359454227914,,,,,,,,,,,
370,D1357 SP1 L1,2025-09-01 12:00,2025-10-01 12:00,15m,164.00356945196788,129.39932661188973,129.49720720714993,L1,L2,L3,5.447354631377163,8.182604490380715,28.21437127019151,0.054473546313771624,34.5554065127052,,1.0133532329702488,1.1634206389413149,0.9179425042298934,0.9186368568287917,,,,,,,,,,,
371,D1340 SP1 L1,2025-09-01 12:00,2025-10-01 12:00,15m,65.01300553215874,53.06930991411209,35.27748119168811,L1,L2,L3,10.33025040999801,19.3893869138782,21.16130463926505,0.09059136503880193,25.917199328894867,,1.0571193274874577,1.2717740951164058,1.0381334171835348,0.6900924877000597,,,,,,,,,,,
372,D1418 SP1 L1,2025-09-01 12:00,2025-10-01 12:00,15m,120.04145316724424,100.44663420606543,97.51113702897672,L1,L2,L3,4.415643379699543,7.085022355200918,17.32232874152464,0.04415643379699543,21.21543328674138,,1.008901878982271,1.1324693013909863,0.9476120678740552,0.9199186307349587,,,,,,,,,,,
