device_id,cur_ratio,type
258,0.0,JanitzaUMG801MeasurementGroup
268,0.0,JanitzaUMG801MeasurementGroup
269,0.0,JanitzaUMG801MeasurementGroup
289,0.0,JanitzaUMG801MeasurementGroup
290,0.0,JanitzaUMG801MeasurementGroup
306,0.0,JanitzaUMG801MeasurementGroup
313,0.0,JanitzaUMG801MeasurementGroup
314,0.0,JanitzaUMG801MeasurementGroup
322,0.0,JanitzaUMG801MeasurementGroup
405,0.0,JanitzaUMG801MeasurementGroup
412,0.0,JanitzaUMG801MeasurementGroup
413,0.0,JanitzaUMG801MeasurementGroup
441,0.0,JanitzaUMG801MeasurementGroup
