device_id,name,window_start,window_end,sample_time,Ia_avg,Ib_avg,Ic_avg,cur_dev_ratio,cur_ratio,current_unbalance_rms,dib,neutral_from_trms_120deg,neutral_from_trms_and_pf,phase_unbalance_metrics.UC,phase_unbalance_metrics.Unbalance_a,phase_unbalance_metrics.Unbalance_b,phase_unbalance_metrics.Unbalance_c,sequence_unbalance_factors.I0,sequence_unbalance_factors.I1,sequence_unbalance_factors.I2,sequence_unbalance_factors.M0,sequence_unbalance_factors.M0_angle_deg,sequence_unbalance_factors.M0_mag,sequence_unbalance_factors.M2,sequence_unbalance_factors.M2_angle_deg,sequence_unbalance_factors.M2_mag,vuf_magnitude,vuf_symmetrical
280,D1508 SP1 L1 / UMG801-4700-2016 / Measurement Group 1,2025-09-01 12:00,2025-10-01 12:00,15m,101.50505223770936,101.6502752419975,108.53643229934904,1.4883868097611026,2.2558761471987276,5.682738609470311,0.014883868097611027,6.9599049674082565,,1.000997208503246,0.9769753198768713,0.9783730758302954,1.044651604292833,,,,,,,,,,,
285,D1379 SP1 L1 / UMG801-4700-2676 / Measurement Group 1,2025-09-01 12:00,2025-10-01 12:00,15m,21.079792647205796,25.650486665711107,17.980264739353125,6.305472121604419,11.853125388904706,5.456819020331063,0.06305472121604419,6.683211109262529,,1.0213329174599373,0.9772654343708763,1.1891641636481327,0.8335704019809914,,,,,,,,,,,
293,D0383 SP1 L1 / UMG801-4700-2318 / Measurement Group 1,2025-09-01 12:00,2025-10-01 12:00,15m,307.9909817112817,212.64573141468895,256.91902582380504,6.276815017867459,12.262175625553622,67.47638112734629,0.06276815017867458,82.64135172578122,,1.0225923682137346,1.1883044505360238,0.8204391817694151,0.9912563676945614,,,,,,,,,,,
301,D0613 SP1 L1 / UMG801-4700-2675 / Measurement Group 1,2025-09-01 12:00,2025-10-01 12:00,15m,125.91388338177919,125.52953847249348,117.57220963363275,1.4722955882463205,2.2605204322949755,6.659587679417604,0.00788224844048655,8.156295855949882,,1.0009770716461035,1.0236467453214597,1.0205221223259298,0.9558311323526104,,,,,,,,,,,
309,D0613 SP2 L1 / UMG801-4700-2812 / Measurement Group 1,2025-09-01 12:00,2025-10-01 12:00,15m,134.8587492081854,139.26307550403806,131.28784501949946,1.0178639620332193,1.967202827159045,5.649594325456313,0.010178639620332193,6.919311675543803,,1.0005825961044854,0.9979442470927786,1.0305359188609966,0.9715198340462252,,,,,,,,,,,
317,D1454 SP1 L1 / UMG801-4700-2819 / Measurement Group 1,2025-09-01 12:00,2025-10-01 12:00,15m,100.2465519845844,76.74704225039434,59.4461382175973,9.065019492028359,17.256157983164126,28.961019789000854,0.09065019492028359,35.469860456849126,,1.0450098988526624,1.2719505847608508,0.9737835699732222,0.754265845265927,,,,,,,,,,,
328,D1532 SP1 L1 / UMG801-4700-2672 / Measurement Group 1,2025-09-01 12:00,2025-10-01 12:00,15m,114.2914632956187,100.15342663791445,109.38942235310873,2.405966208238924,4.365824164176268,10.152466084449818,0.01959857955937344,12.434180768907035,,1.0029486187526229,1.0587957386781204,0.9278210137528323,1.0133832475690472,,,,,,,,,,,
338,D1030 SP1 L1 / UMG801-4700-7801 / Measurement Group 1,2025-09-01 12:00,2025-10-01 12:00,15m,235.9912844525443,175.66390415562523,192.08760743670993,5.754716412108563,9.992231906057329,44.10844098531431,0.05754716412108563,54.02158688184247,,1.0160125591513935,1.1726414923632569,0.872874535181537,0.954483972455206,,,,,,,,,,,
348,D0662 SP2 L1 / UMG801-4700-7805 / Measurement Group 1,2025-09-01 12:00,2025-10-01 12:00,15m,16.58456585661689,11.587266994521391,16.228140028843416,7.235869206850365,11.25518449212521,3.9428305318430885,0.040193152852748444,4.828961472641006,,1.0236576753014475,1.1205794585582454,0.782923923794489,1.0964966176472655,,,,,,,,,,,
354,D1554 SP1 L1 / UMG801-4700-2669 / Measurement Group 1,2025-09-01 12:00,2025-10-01 12:00,15m,106.39897966670493,101.025140354339,101.57365359042193,1.1002415184036651,1.7391191041793725,4.181817287087287,0.011002415184036652,5.121659275456488,,1.0005494657940268,1.03300724555211,0.9808336724267288,0.9861590820211613,,,,,,,,,,,
365,D1528 SP1 L1 / UMG801-4700-2815 / Measurement Group 1,2025-09-01 12:00,2025-10-01 12:00,15m,18.225763875643963,17.694446000834002,19.52293197186832,1.8791948911122192,3.297947969896401,1.3302010750539397,0.01879194891112219,1.6291569445919607,,1.0017268721199644,0.9861867456301587,0.9574374076364746,1.0563758467333666,,,,,,,,,,,
400,D1482 SP1 L1 / UMG801-4702-8660 / Measurement Group 1,2025-09-01 12:00,2025-10-01 12:00,15m,61.560605389991544,44.59249743706404,50.62422982600465,5.932933255231378,10.823062024200278,12.164193268093134,0.05932933255231378,14.898033319713159,,1.018060149275409,1.1779879976569414,0.853296136930933,0.9687158654121256,,,,,,,,,,,
408,D0246 SP1 L1 / UMG801-4700-2679 / Measurement Group 1,2025-09-01 12:00,2025-10-01 12:00,15m,179.47508115460369,164.808145049381,161.62571193460542,2.142434660597183,3.528178269724217,13.464111269055888,0.02142434660597183,16.49010122462157,,1.0021248678917618,1.0642730398179154,0.9772992684558955,0.958427691726189,,,,,,,,,,,
