device_id,name,window_start,window_end,sample_time,Ia_avg,Ib_avg,Ic_avg,Va_avg,Vb_avg,Vc_avg,I4_avg,I4_label,Ia_label,Ib_label,Ic_label,Va_label,Vb_label,Vc_label,cur_dev_ratio,cur_ratio,dib,neutral_from_trms_120deg,sequence_unbalance_factors.M0_mag,sequence_unbalance_factors.M2_mag,vuf_magnitude,vuf_symmetrical
273,D0615 SP1 L1 / UMG801-4700-2818 / Measurement Group 2,2024-11-01 12:00,2025-11-01 12:00,15m,55.64565710260419,15.201586379301789,4.176712896735656,233.36364914226027,232.61490263859193,233.141565803869,38.81631193780988,Input08,Input05,Input06,Input07,L1,L2,L3,40.837184709948374,68.60334577145959,0.40837184709948376,46.93784672119549,,,0.0013886452665868396,0.19181319349254103
276,D0615 SP1 L1 / Mod 1 / Measurement Group 1,2024-11-01 12:00,2025-11-01 12:00,15m,4.2847250506403205e-09,2.6726886650151117e-09,1.931599063759132e-09,233.36364914226027,232.61490263859193,233.141565803869,1.3237531521921925e-09,Input04,Input01,Input02,Input03,L1,L2,L3,14.869151655359813,26.472298389879995,0.14869151655359814,2.0838758379285583e-09,,,0.0013886452665868396,0.19181319349254103
277,D0615 SP1 L1 / Mod 1 / Measurement Group 2,2024-11-01 12:00,2025-11-01 12:00,15m,16.962074196776385,1.2522442839522905e-09,9.435943987115138e-10,233.36364914226027,232.61490263859193,233.141565803869,3.4907991999860336e-10,Input08,Input05,Input06,Input07,L1,L2,L3,66.6666666537211,99.99999998149147,0.666666666537211,16.962074195678465,,,0.0013886452665868396,0.19181319349254103
280,D1508 SP1 L1 / UMG801-4700-2016 / Measurement Group 1,2024-11-01 12:00,2025-11-01 12:00,15m,113.80015480500984,107.87422635792345,112.09603550202208,232.62739891757747,232.1000711891535,232.185681277108,58.66903299808461,Input04,Input01,Input02,Input03,L1,L2,L3,1.0134448795254274,1.7754504747000819,0.0076200559517465485,5.284142456822935,0.056860016797039274,0.05323456982828327,0.001390482253017201,0.1303802185275585
281,D1508 SP1 L1 / UMG801-4700-2016 / Measurement Group 2,2024-11-01 12:00,2025-11-01 12:00,15m,13.517284140135132,12.538533839270347,18.192055626256817,232.62739891757747,232.1000711891535,232.185681277108,0.0,Input08,Input05,Input06,Input07,L1,L2,L3,7.7806324775092115,12.776934406771137,0.07780632477509211,5.2332470415044465,,,0.001390482253017201,0.1303802185275585
285,D1379 SP1 L1 / UMG801-4700-2676 / Measurement Group 1,2024-11-01 12:00,2025-11-01 12:00,15m,26.8636778370459,27.48968224887503,19.009040260524706,234.28781319672518,233.41588120102682,233.86027819722048,8.523234239665095,Input04,Input01,Input02,Input03,L1,L2,L3,7.422185155579247,11.559929811867457,0.0413774465628821,8.18561242414697,0.19755286493786034,0.18732917191420176,0.001852243054039024,0.23019187114066775
286,D1379 SP1 L1 / UMG801-4700-2676 / Measurement Group 2,2024-11-01 12:00,2025-11-01 12:00,15m,6.719890009320319,3.5192972896579104,3.5842373734299366,234.28781319672518,233.41588120102682,233.86027819722048,2.17560036541935,Input08,Input05,Input06,Input07,L1,L2,L3,15.279005277180133,23.15339936022407,0.15279005277180133,3.1686218159163957,,,0.001852243054039024,0.23019187114066775
289,D1379 SP1 L1 / Mod1 / Measurement Group 1,2024-11-01 12:00,2025-11-01 12:00,15m,0.0,0.0,0.0,234.28781319672518,233.41588120102682,233.86027819722048,0.0,Input04,Input01,Input02,Input03,L1,L2,L3,0.0,0.0,,0.0,,,0.001852243054039024,0.23019187114066775
290,D1379 SP1 L1 / Mod1 / Measurement Group 2,2024-11-01 12:00,2025-11-01 12:00,15m,0.0,0.0,0.0,234.28781319672518,233.41588120102682,233.86027819722048,0.0,Input08,Input05,Input06,Input07,L1,L2,L3,0.0,0.0,,0.0,,,0.001852243054039024,0.23019187114066775
293,D0383 SP1 L1 / UMG801-4700-2318 / Measurement Group 1,2024-11-01 12:00,2025-11-01 12:00,15m,309.82722580792154,230.21473668634076,277.46422958134514,234.4640537797588,234.12278522900795,233.75023686395932,14.360877470406768,Input04,Input01,Input02,Input03,L1,L2,L3,5.172722573696517,9.738457016386462,0.04565734442689944,69.34704942436338,0.09582088375091749,0.10425631167726836,0.0015022494223863743,0.12617504451917846
